13-4,13-4,9-31,9-31,A/B,A/B,58-52,58-52,67-63,67-63,D/E,D/E
581,87,23,346,25.26086956521739,0.2514450867052023,-98,64,-68,4,1.4411764705882353,16.0
588,6,81,274,7.2592592592592595,0.021897810218978103,-77,47,-64,-10,1.203125,-4.7
589,-105,103,276,5.718446601941747,-0.3804347826086957,-60,109,-54,22,1.1111111111111112,4.954545454545454
734,-42,180,374,4.0777777777777775,-0.11229946524064172,-69,139,-67,48,1.0298507462686568,2.8958333333333335
213,-6,39,114,5.461538461538462,-0.05263157894736842,-24,11,-20,-2,1.2,-5.5
130,9,15,72,8.666666666666666,0.125,-20,15,-16,0,1.25,inf
886,-68,174,394,5.091954022988506,-0.17258883248730963,-105,143,-99,63,1.0606060606060606,2.2698412698412698
894,-54,166,454,5.385542168674699,-0.11894273127753303,-108,146,-103,63,1.0485436893203883,2.3174603174603177
651,-41,71,254,9.169014084507042,-0.16141732283464566,-76,119,-61,27,1.2459016393442623,4.407407407407407
702,-109,175,344,4.011428571428572,-0.3168604651162791,-71,157,-74,82,0.9594594594594594,1.9146341463414633
716,-171,175,305,4.091428571428572,-0.5606557377049181,-66,143,-76,68,0.868421052631579,2.1029411764705883
639,-29,137,392,4.664233576642336,-0.07397959183673469,-78,106,-68,12,1.1470588235294117,8.833333333333334
576,-154,178,269,3.235955056179775,-0.5724907063197026,-47,83,-54,15,0.8703703703703703,5.533333333333333
606,-107,138,336,4.391304347826087,-0.31845238095238093,-74,130,-69,31,1.0724637681159421,4.193548387096774
546,-94,120,218,4.55,-0.43119266055045874,-53,65,-53,5,1.0,13.0
546,-118,135,266,4.044444444444444,-0.44360902255639095,-63,157,-63,72,1.0,2.1805555555555554
568,-110,116,250,4.896551724137931,-0.44,-65,81,-64,19,1.015625,4.2631578947368425
411,17,68,245,6.044117647058823,0.06938775510204082,-58,79,-49,20,1.183673469387755,3.95
392,-39,95,222,4.126315789473685,-0.17567567567567569,-49,77,-47,23,1.0425531914893618,3.347826086956522
847,-53,168,411,5.041666666666667,-0.12895377128953772,-79,99,-71,1,1.1126760563380282,99.0
830,-27,132,423,6.287878787878788,-0.06382978723404255,-88,93,-72,-5,1.2222222222222223,-18.6
611,-62,118,308,5.177966101694915,-0.2012987012987013,-64,89,-56,7,1.1428571428571428,12.714285714285714
611,-70,122,320,5.008196721311475,-0.21875,-66,75,-59,-5,1.11864406779661,-15.0
522,-35,106,286,4.9245283018867925,-0.12237762237762238,-61,83,-56,22,1.0892857142857142,3.772727272727273
531,-22,129,277,4.116279069767442,-0.07942238267148015,-54,88,-48,21,1.125,4.190476190476191
458,-85,110,230,4.163636363636364,-0.3695652173913043,-47,70,-46,15,1.0217391304347827,4.666666666666667
451,-110,114,219,3.956140350877193,-0.502283105022831,-45,79,-45,18,1.0,4.388888888888889
293,-64,85,125,3.447058823529412,-0.512,-25,33,-30,0,0.8333333333333334,inf
936,-186,238,455,3.9327731092436973,-0.4087912087912088,-76,89,-76,-4,1.0,-22.25
966,-140,228,537,4.2368421052631575,-0.260707635009311,-108,134,-103,13,1.0485436893203883,10.307692307692308
822,-97,191,347,4.303664921465969,-0.27953890489913547,-79,77,-78,0,1.0128205128205128,inf
891,-133,194,487,4.592783505154639,-0.2731006160164271,-64,74,-64,1,1.0,74.0
